ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution,Density,labcTime,labcoefOfRestitution
Tue131747,-0.739857682,107,2.38,2.68,0.556119511,0.517205454076044,3.25,2.72,0.517205383800379,10
Tue131802,-0.7401518815,107,2.38,2.745,0.555313718,0.694469700170292,3.25,2.705,0.694417410620027,0
Tue131823,-0.7401518815,107,2.38,2.745,0.5547000219,0.695058412661594,3.25,2.705,0.695007808266771,0.1
Tue131848,0,107,2.38,0,0,NaN,3.25,0,NaN,0.1
Tue131945,0,107,2.38,0,0,NaN,3.25,0,NaN,0.1
Tue132010,0,107,2.38,0,0,NaN,3.25,0,NaN,0.1
Tue132054,0,107,2.38,0,0,NaN,3.25,0,NaN,0
Tue132341,-0.862440807,107,2.38,2.725,0.6531275776,0.719658911980775,3.25,2.685,0.719567618423827,0
Tue132512,-0.8624898402,107,2.38,2.57,0.6820557919,0.851609178135692,3.25,2.53,0.851509852162019,0
Tue132658,-0.862440807,107,2.38,2.725,0.6531507851,0.719620939483067,3.25,6.925,0.719599217871743,0
Tue170344,-0.6691027022,107,2.38,3.3325,0.6921792243,0.723088127242447,3.25,0,0.999985163962229,0
Tue170401,-0.669053669,107,2.38,3.305,0.6921744484,0.742746167149193,3.25,0,1.00041756551498,0.1
Sun170539,-0.6312,107,2.38,3.175,0.5933679105,0.838727507151472,3.25,3.075,0.83486195577095,0.1
Sun170912,-0.6312,107,2.38,3.155,0.5929486991,0.830152186001834,3.25,3.115,0.830020429870413,0.2
Sun171656,-0.6312,107,2.38,3.21375,0.6177803641,0.903244306895555,3.25,3.15875,0.901727544364315,0.2
Sun171826,-0.6312,107,2.38,2.50875,0.4960867973,0.901303134590065,3.25,2.48875,0.901294555260282,0.2
Sun173438,-0.6312,107,2.38,3.0763888889,0.5963330352,0.892810070092572,3.25,3.0430555556,0.892356069234783,0.1
Sun174313,-0.6312,107,2.38,3.0763888889,0.5963330352,0.892810070092572,3.25,3.0430555556,0.892356069234783,0.1
Mon195116,-0.6312,107,2.38,3.4821875,0.6468718349,0.358049236436665,3.25,3.9971875,0.358048034045686,0.1
