ID,vi,surfacetension,radius,cTime,maxDeflection,coefOfRestitution,Density,labcTime,labcoefOfRestitution
202209041808291,-0.6312,107.0,2.38,3.44875,0.6323907258,0.3500820829395702,3.2500000000000004,3.94875,0.35007966910573524
20220904182513,-0.6312,107.0,2.38,3.4796875,0.6473796712,0.3599474711522139,3.2500000000000004,3.9896875,0.3599462400969587
202209042120715,-0.6312,107.0,2.38,3.15,0.543614239,0.3196129404042629,3.2500000000000004,3.55,0.3196032850689185
202209051949727,-0.6312,107.0,2.38,3.335,0.6013723365,0.3274467255298311,3.2500000000000004,3.855,0.32744199441551197
20220906113871,-0.6312,107.0,2.38,3.15,0.543614239,0.3196129404042629,3.2500000000000004,3.55,0.3196032850689185
20220906113963,-0.6312,107.0,2.38,3.3833333333,0.6043930307,0.34548205526796866,3.2500000000000004,3.9166666667,0.34547347274766216
202209061142191,-0.6312,107.0,2.38,3.34375,0.5999401308,0.3340879448089504,3.2500000000000004,3.84375,0.33408191022436007
202209061238141,-0.6312,107.0,2.38,3.335,0.6013723365,0.3274467255298311,3.2500000000000004,3.855,0.32744199441551197
202209061257255,NaN,107.0,2.38,0.0,0.0,NaN,3.2500000000000004,0.0,NaN
202209061259711,NaN,107.0,2.38,0.0,0.0,NaN,3.2500000000000004,0.0,NaN
