ID,vi,surfacetension,radius,cTime,maxDeflection,coefOfRestitution,Density,labcTime,labcoefOfRestitution,Viscocity
202209181114288,-0.4764,107.0,2.38,3.5346875,0.4990918581,0.36582809428666624,3.2500000000000004,4.0346875,0.3658260073749367,0.0
202209181115186,-0.4971,107.0,2.38,3.5096875,0.5165684972,0.36241861304783374,3.2500000000000004,4.0096875,0.3624166671329992,0.0
202209241503284,-0.4764,107.0,2.38,3.355,0.4598009263,0.3371393519767122,3.2500000000000004,3.795,0.33713189418047457,0.0
202209241503627,-0.4971,107.0,2.38,3.355,0.4820223911,0.34304506652061006,3.2500000000000004,3.835,0.34303759420763946,0.0
202209241503157,-0.5673,107.0,2.38,3.475,0.5687606262,0.36400897954100286,3.2500000000000004,3.955,0.36400324211611773,0.0
202209241504231,-0.6312,107.0,2.38,3.335,0.6013723365,0.32744672552994164,3.2500000000000004,3.855,0.32744199441562255,0.0
202209241504036,-0.6874,107.0,2.38,3.315,0.6526120382,0.3274214437631894,3.2500000000000004,3.795,0.32741753604240975,0.0
202209241504389,-0.7466,107.0,2.38,3.375,0.7193940817,0.336648677452407,3.2500000000000004,3.895,0.33664529585850733,0.0
202209241507786,-0.4764,107.0,2.38,3.355,0.4598009263,0.3371393519767122,3.2500000000000004,3.795,0.33713189418047457,0.0
202209241507716,-0.4971,107.0,2.38,3.355,0.4820223911,0.34304506652061006,3.2500000000000004,3.835,0.34303759420763946,0.0
202209241512699,-0.4764,107.0,2.38,3.355,0.4598009263,0.3371393519767122,3.2500000000000004,3.795,0.33713189418047457,0.0
202209241512268,-0.4971,107.0,2.38,3.355,0.4820223911,0.34304506652061006,3.2500000000000004,3.835,0.34303759420763946,0.0
202209241512108,-0.4764,107.0,2.38,3.39,0.4454594409,0.2550474985684185,3.2500000000000004,3.99,0.2550373288462762,0.741601375649378
202209241512659,-0.4971,107.0,2.38,3.35,0.458847776,0.251969735685318,3.2500000000000004,3.95,0.2519603952941049,0.741601375649378
202209241512187,-0.4764,107.0,2.38,3.35,0.4458228462,0.2869836000130186,3.2500000000000004,3.87,0.2869747862538287,0.370800687824689
202209241512435,-0.4971,107.0,2.38,3.35,0.4739697003,0.2986191860859717,3.2500000000000004,3.91,0.29861046838750616,0.370800687824689
202209241515957,-0.4764,107.0,2.38,3.355,0.4598009263,0.3371393519767122,3.2500000000000004,3.795,0.33713189418047457,0.0
202209241516268,-0.4971,107.0,2.38,3.355,0.4820223911,0.34304506652061006,3.2500000000000004,3.835,0.34303759420763946,0.0
202209241516041,-0.4764,107.0,2.38,3.39,0.4454594409,0.2550474985684185,3.2500000000000004,3.99,0.2550373288462762,0.741601375649378
20220924151631,-0.4971,107.0,2.38,3.35,0.458847776,0.251969735685318,3.2500000000000004,3.95,0.2519603952941049,0.741601375649378
202209241516727,-0.4764,107.0,2.38,3.35,0.4458228462,0.2869836000130186,3.2500000000000004,3.87,0.2869747862538287,0.370800687824689
202209241516504,-0.4971,107.0,2.38,3.35,0.4739697003,0.2986191860859717,3.2500000000000004,3.91,0.29861046838750616,0.370800687824689
202209241516059,-0.4764,107.0,2.38,3.35,0.449463912,0.2752159953221029,3.2500000000000004,3.91,0.2752065035814366,0.5562010317370336
202209241516324,-0.4971,107.0,2.38,3.35,0.4667642774,0.27213324432953434,3.2500000000000004,3.91,0.2721245266310686,0.5562010317370336
202209241516736,-0.4764,107.0,2.38,3.35,0.4490580285,0.26644416995849535,3.2500000000000004,3.95,0.266434000236353,0.6489012036932058
202209241516869,-0.4971,107.0,2.38,3.35,0.4627744979,0.2597787253764825,3.2500000000000004,3.95,0.25976938498526936,0.6489012036932058
202209241516201,-0.4764,107.0,2.38,3.39,0.4472631916,0.26211703935341824,3.2500000000000004,3.95,0.2621075476127521,0.6952512896712919
20220924151670,-0.4971,107.0,2.38,3.35,0.4608153223,0.25703418045964654,3.2500000000000004,3.95,0.25702484006843346,0.6952512896712919
202209241516114,-0.4764,107.0,2.38,3.35,0.4463623769,0.2576460445278977,3.2500000000000004,3.95,0.2576358748057554,0.7184263326603351
202209241516448,-0.4971,107.0,2.38,3.35,0.4598325362,0.2520920808176703,3.2500000000000004,3.95,0.2520827404264572,0.7184263326603351
202209241516584,-0.4764,107.0,2.38,3.39,0.4459111675,0.25495319374182235,3.2500000000000004,3.99,0.25494302401968005,0.7300138541548564
20220924151688,-0.4971,107.0,2.38,3.35,0.4593403956,0.2522066132636926,3.2500000000000004,3.95,0.25219727287247945,0.7300138541548564
202209241516134,-0.4764,107.0,2.38,3.39,0.445685368,0.25500108865538795,3.2500000000000004,3.99,0.25499091893324566,0.7358076149021172
202209241516394,-0.4971,107.0,2.38,3.35,0.4590941448,0.2522615117120104,3.2500000000000004,3.95,0.2522521713207972,0.7358076149021172
202209241516658,-0.4764,107.0,2.38,3.39,0.4455724203,0.2550244788167167,3.2500000000000004,3.99,0.25501430909457445,0.7387044952757477
202209241516089,-0.4971,107.0,2.38,3.35,0.458970975,0.2522883720027944,3.2500000000000004,3.95,0.2522790316115813,0.7387044952757477
202209241523874,-0.4764,107.0,2.38,3.355,0.4598009263,0.3371393519767122,3.2500000000000004,3.795,0.33713189418047457,0.0
202209241523598,-0.4971,107.0,2.38,3.355,0.4820223911,0.34304506652061006,3.2500000000000004,3.835,0.34303759420763946,0.0
202209241523886,-0.4764,107.0,2.38,3.39,0.4454594409,0.2550474985684185,3.2500000000000004,3.99,0.2550373288462762,0.741601375649378
